categories,city,avg(stars)
Formal Wear,Huntersville,2.5
Food,Remseck am Neckar,4.5
Event Planning & Services,Streetsville,3.5
Southern,Coraopolis,3.0
Vietnamese,Kirkland,4.0
Body Shops,Fairlawn,2.5
Vegetarian,Woodmere,4.0
Orthodontists,Montreal,3.5
Wine & Spirits,Verdun,4.0
Wine & Spirits,Clarkson,2.5
Beer,Leith,4.0
Real Estate Services,McMurray,3.0
Dog Walkers,Edinburgh,4.5
Beer,Casablanca,5.0
Paint & Sip,Concord,4.5
Mattresses,Stow,4.0
Beer Gardens,Highland Heights,4.5
Cafes,Central City Village,3.0
Discount Store,Urbana,1.75
Jewelry,Fitchburg,4.5
Italian,Russell,4.0
Chinese,Murrysville,4.0
Specialty Food,Chambly,4.0
Venues & Event Spaces,East Gwillimbury,4.0
Herbs & Spices,Markham,4.0
Gastropubs,Verdun,5.0
Web Design,Glassport,3.5
Spanish,Leinfelden-Echterdingen,3.5
Education,Indian Trail,3.75
Seafood Markets,Matthews,4.0
Spanish,Pepper Pike,3.0
Breakfast & Brunch,Sainte-Anne-de-Bellevue,4.0
Infectious Disease Specialists,Scottsdale,5.0
Shutters,Surprise,4.0
Fitness & Instruction,Paradise Valley,5.0
Himalayan/Nepalese,Richmond Hill,4.5
Shaved Ice,Wexford,4.0
Hair Stylists,Etobicoke,3.8333333333333335
Festivals,Fellbach,5.0
Wine Bars,Oakmont,3.5
Wine & Spirits,Pointe-Claire,4.0
Assisted Living Facilities,Broadview Heights,5.0
Notaries,White Oak,2.5
Pizza,Lagrange,4.5
Colombian,Pittsburgh,4.5
Diners,York,5.0
Bars,Don Mills,4.0
Ice Cream & Frozen Yogurt,Montreal-Ouest,4.5
Food,Sheffield,3.5
Eyewear & Opticians,Willoughby,2.5
Weight Loss Centers,Highland Heights,4.5
Burgers,Fort  Mill,3.0
Psychic Mediums,Glendale,5.0
Japanese,Lakewood,3.5
American (Traditional),Phoenix,3.314736842105263
Massage,Scottsdale,4.372282608695652
Optometrists,Las Vegas,3.894578313253012
Nail Salons,Toronto,3.3566350710900474
Boot Camps,Las Vegas,4.7611940298507465
Shopping,West Mifflin,2.9166666666666665
Beauty & Spas,Montréal,3.690036900369004
Shutters,Las Vegas,4.25
Hotels,North York,2.4
Hair Salons,Chandler,4.290322580645161
Chicken Wings,North Las Vegas,2.782608695652174
Plumbing,Goodyear,4.25
Department Stores,Stuttgart,3.5681818181818183
Drywall Installation & Repair,Surprise,4.166666666666667
Nurseries & Gardening,Chandler,3.6944444444444446
Jewelry Repair,Tempe,3.6
Web Design,Madison,4.5
Ethnic Food,York,3.0
Desserts,Etobicoke,3.6666666666666665
Body Shops,Tempe,4.368421052631579
Breakfast & Brunch,Scottsdale,3.778947368421053
Leather Goods,Toronto,3.4875
Auto Glass Services,Mesa,4.014925373134329
Shades & Blinds,Phoenix,4.127272727272727
Chicken Wings,Madison,2.7222222222222223
Health Markets,Las Vegas,4.044871794871795
Japanese,Kannapolis,3.6
Patio Coverings,Huntersville,5.0
Banks & Credit Unions,Urbana,2.5
Hardware Stores,Montréal,3.909090909090909
Hair Salons,Brampton,3.185185185185185
Gastropubs,Surprise,3.5
Music Venues,Madison,3.6451612903225805
Dentists,Canonsburg,3.75
Shopping,Pointe-Claire,3.1315789473684212
Barbers,Charlotte,3.948453608247423
Truck Rental,Mesa,3.375
Door Sales/Installation,El Mirage,4.5
Specialty Food,Brecksville,3.0
Community Service/Non-Profit,Tempe,4.25
Restaurants,Valley View,3.5416666666666665
Irrigation,Ahwatukee,4.5
Medical Centers,Scarborough,2.7142857142857144
Health & Medical,Middleburg Hts,4.0
Shoe Stores,Huntersville,2.875
Emergency Pet Hospital,Avondale,4.0
Swimming Lessons/Schools,Wilmerding,4.5
Emergency Pet Hospital,Mississauga,3.5
Home Services,Ogden,4.5
Real Estate Agents,Mississauga,4.285714285714286
Tree Services,Canonsburg,2.0
Leather Goods,Chagrin Falls,5.0
Self Storage,Charlotte,3.693877551020408
Middle Schools & High Schools,Gilbert,3.8214285714285716
Mexican,Urbana,3.533333333333333
Restaurants,South Las Vegas,3.25
Reflexology,South Park Township,5.0
RV Dealers,Matthews,5.0
Home & Garden,Brampton,2.730769230769231
Pets,Newmarket,3.6666666666666665
Japanese,Matthews,3.875
American (Traditional),Broadview Heights,3.375
Italian,Kent,3.9166666666666665
Community Service/Non-Profit,Chandler,4.0
Spray Tanning,Edinburgh,2.0
Hotels & Travel,Fort Mill,3.2857142857142856
Fruits & Veggies,Anjou,3.75
Boxing,Mesa,4.083333333333333
TV Mounting,Surprise,4.0
Bakeries,Twinsburg,3.4166666666666665
Guns & Ammo,Dravosburg,4.5
American (Traditional),Cornelius,3.5789473684210527
Auto Detailing,Westlake,4.5
Dive Bars,Henderson,3.5
Reflexology,Etobicoke,5.0
Coffee & Tea,Windsor,5.0
Optometrists,Richmond Heights,3.0
Travel Agents,Mc Kees Rocks,3.5
Latin American,Edinburgh,3.75
Ophthalmologists,Surprise,3.5
Italian,Pierrefonds,4.25
Steakhouses,North York,3.111111111111111
Appliances & Repair,Madison,3.7916666666666665
DJs,Madison,4.5
Gyms,"Toronto, Ontario",4.5
DJs,Willoughby Hills,1.0
Lounges,Kent,3.3333333333333335
Masonry/Concrete,Matthews,4.25
Car Wash,Verona,1.0
Chinese,Arnold,4.5
Appliances & Repair,Surprise,3.8125
Nurseries & Gardening,Stuttgart,4.125
Breakfast & Brunch,Carnegie,3.75
Transportation,Homestead,4.0
Adult Entertainment,Cleveland,3.5384615384615383
Wine & Spirits,Richmond Hill,3.2142857142857144
Home Inspectors,Peoria,3.0
Local Services,Savoy,3.9
Bookstores,Pointe-Claire,4.0
Casinos,Toronto,3.1666666666666665
Lounges,Leinfelden-Echterdingen,3.0
Pizza,Paradise Valley,4.0
Horse Equipment Shops,Henderson,4.0
British,Mesa,4.5
Butcher,Middleburg Heights,4.5
Day Spas,Sewickley,4.25
Desserts,Cramerton,4.5
Chicken Wings,Irwin,3.25
Pet Sitting,Brecksville,1.0
Arts & Entertainment,Middleton,3.75
Telecommunications,Surprise,2.5
American (Traditional),York,3.5
Specialty Schools,Euclid,4.5
Food Delivery Services,Euclid,4.5
Movers,Savoy,3.0
Italian,Mt. Lebanon,3.5
Delis,Stoughton,3.0
Lebanese,Tempe,4.5
Venezuelan,Stallings,5.0
Hotels & Travel,Chagrin Falls,4.333333333333333
Cocktail Bars,Middleton,4.0
Recycling Center,Garfield Heights,3.5
Casinos,Phoenix,4.125
Coffee & Tea,Glenshaw,4.0
Gas Stations,Macedonia,3.3333333333333335
Custom Cakes,Lakewood,4.5
Airport Shuttles,Edinburgh,3.9
Tex-Mex,Etobicoke,3.3333333333333335
Women's Clothing,Mayfield Heights,4.0
Car Wash,Sun City,3.0
Face Painting,Phoenix,4.5
Gluten-Free,Oakville,3.611111111111111
Snow Removal,Champaign,3.857142857142857
Teeth Whitening,Chandler,4.625
Medical Spas,Vaughan,3.75
Eyewear & Opticians,WICKLIFFE,5.0
Butcher,Inverness,4.0
Massage Therapy,Unionville,2.5
Bus Tours,Henderson,5.0
Irrigation,Goodyear,3.0
Festivals,Chandler,2.9444444444444446
Burgers,L'Île-Perrot,2.75
Auto Parts & Supplies,Laveen,3.6666666666666665
Hair Salons,Painesville,3.8333333333333335
College Counseling,Scottsdale,3.5
Arabian,N. Las Vegas,2.0
American (New),Tremont,4.0
Martial Arts,Fitchburg,4.0
Auto Repair,Euclid,3.5
Hardware Stores,East York,2.5
Travel Services,Fort Mill,4.0
Food,La Prairie,4.375
Buffets,Lasalle,3.25
Home & Garden,Broadlands,5.0
Polish,Cleveland,4.0
Accessories,"Las Vegas, NV",3.5
Race Tracks,Cuyahoga Falls,5.0
Lice Services,Sun Prairie,5.0
Mexican,Wexford,3.3
Local Flavor,Stoughton,3.0
Electricians,Medina,3.0
Security Services,Cleveland,5.0
Cheesesteaks,Fort Mill,3.5
Pets,Whitchurch-Stouffville,3.5
Desserts,Carnegie,5.0
Medical Centers,Parma,4.5
American (New),Parma Heights,3.3333333333333335
Auto Detailing,Matthews,3.6
Head Shops,Avondale,4.0
Web Design,Peoria,4.0
Jewelry,Middleton,4.357142857142857
Videos & Video Game Rental,Lakewood,3.25
Fashion,Olmsted Falls,4.75
Beauty & Spas,Weddington,4.75
Convenience Stores,Brunswick,2.0
Health & Medical,Sindelfingen,4.5
Life Insurance,Peoria,3.5
Wraps,Indian Land,4.0
Landscaping,Ludwigsburg,3.0
Vinyl Records,Fairlawn,4.0
Car Wash,Cave Creek,3.125
Event Photography,Champaign,4.75
Auto Insurance,Stow,3.5
Automotive,Ogden,5.0
Cafeteria,Mississauga,1.75
Meat Shops,Scarborough,4.5
Vietnamese,Ludwigsburg,4.0
Gymnastics,Markham,4.0
Home Services,Swissvale,4.5
Utilities,Verona,5.0
Soul Food,Monroeville,1.5
General Dentistry,Bridgeville,3.5
Professional Services,Phoenix AZ,3.0
Banks & Credit Unions,Moon Township,2.5
Trainers,Highland Heights,4.0
Filipino,North Las Vegas,3.0
Wineries,Cleveland,4.0
Asian Fusion,Sindelfingen,3.5833333333333335
Cremation Services,Mentor,2.5
Delis,Homer,4.5
Sandwiches,Wickliffe,3.3333333333333335
Colleges & Universities,Champaign,4.25
Hair Salons,Mayfield Village,4.5
Falafel,Montreal-West,4.0
Security Systems,Matthews,3.3333333333333335
Jewelry,Highland Heights,5.0
Beauty & Spas,Pierrefonds,2.0
Golf,Oakville,4.0
Shoe Shine,Beachwood,5.0
Japanese,Mentor,3.375
Sushi Bars,Litchfield Park,3.75
Pet Training,N Las Vegas,3.5
Airports,Litchfield Park,4.5
Shoe Repair,Chandler,3.5
Boxing,East Pittsburgh,3.5
Barre Classes,East Pittsburgh,3.5
Pulmonologist,Gilbert,5.0
Restaurants,Waddell,4.5
Snow Removal,Amherst,3.5
Chicken Wings,Allison Park,3.1666666666666665
Cafes,New Town,4.0
Pubs,Fairview Park,3.0
Gardeners,Mentor,3.0
Health Markets,Fountain Hills,4.5
Fruits & Veggies,Matthews,5.0
Advertising,Avondale,5.0
Civic Center,Lorain,4.0
Float Spa,Glendale,4.833333333333333
Japanese,Sindelfingen,4.0
Landscape Architects,Chagrin Falls,3.5
Active Life,Boston Heights,3.5
Home & Garden,Bedford Heights,1.0
Real Estate,Streetsboro,3.5
Body Shops,Lakewood,5.0
Imported Food,Aurora,3.3333333333333335
Glass & Mirrors,Matthews,4.0
Irish,North York,2.5
Self Storage,Elyria,1.0
Canadian (New),L'ile-Perrot,4.5
Antiques,Stow,3.5
Men's Clothing,Fairview Park,4.0
Hungarian,Las Vegas,3.5
Notaries,Willoughby,3.5
Comedy Clubs,Chandler,4.75
Fondue,Brossard,3.5
DJs,Willoughby,3.5
Bridal,Stoughton,4.5
Thai,Rexdale,3.5
Florists,Painesville,3.5
ATV Rentals/Tours,Madison,1.0
Nurseries & Gardening,Saint-Laurent,5.0
Hospitals,Böblingen,3.5
Active Life,Rosemere,3.5
Wedding Planning,Caledon,4.0
Musical Instruments & Teachers,Strongsville,5.0
Bakeries,Irwin,4.0
Do-It-Yourself Food,Richmond Hill,4.0
Packing Services,Mississauga,1.0
Commercial Truck Repair,Gilbert,3.0
Countertop Installation,N. Las Vegas,2.5
Gyms,Southside Flats,5.0
Botanical Gardens,Madison,4.5
Vegetarian,Davidson,3.0
Gardeners,Tolleson,1.0
Hydro-jetting,Surprise,2.5
Home Theatre Installation,MATTHEWS,3.5
Thai,Sun City,3.5
Movers,Brunswick,3.5
Soup,Brecksville,3.5
Jewelry,Lake Wylie,2.5
Home & Garden,East Gwillimbury,1.0
Eyewear & Opticians,Seven Hills,5.0
Obstetricians & Gynecologists,Westlake,1.0
Food Delivery Services,Schwieberdingen,3.0
Tapas Bars,Waiblingen,3.0
Sandwiches,Highland Heights,2.0
Go Karts,North York,2.5
Boat Repair,Gilbert,5.0
Carpet Installation,Edinburgh,3.5
Airport Shuttles,Glendale,5.0
Chocolatiers & Shops,Huntersville,4.5
Art Supplies,Stuttgart,3.5
Music & DVDs,Mesa,3.611111111111111
Lounges,Tempe,3.48
Vietnamese,MESA,3.75
Dance Clubs,Las Vegas,3.6936936936936937
Specialty Food,Pittsburgh,4.183453237410072
Shopping,Kannapolis,3.5434782608695654
Seafood,Markham,3.3518518518518516
Reflexology,Chandler,4.425
Shaved Ice,Las Vegas,4.32
Imported Food,Champaign,3.25
Parks,Madison,4.225
Gift Shops,Las Vegas,3.9175824175824174
Convenience Stores,Fitchburg,3.25
French,Montréal,3.8152492668621703
Beauty & Spas,Anthem,3.892857142857143
Dentists,Highland Heights,5.0
Professional Services,Tempe,4.056306306306307
Professional Services,Champaign,3.537037037037037
Buffets,Pittsburgh,3.0
Cinema,Matthews,3.25
Day Spas,Gilbert,3.973684210526316
Pet Services,Solon,3.875
Food,Esslingen,3.8703703703703702
Wine & Spirits,Glendale,3.911764705882353
Mobile Phones,Champaign,2.875
Truck Rental,Glendale,3.0625
Beer,Mansfield,5.0
Wine Bars,Avondale,3.25
Shades & Blinds,Henderson,4.65
Roofing,Madison,2.9444444444444446
American (New),Homestead,3.5
Gluten-Free,Montréal,3.877551020408163
Baby Gear & Furniture,Goodyear,2.25
Drugstores,North Las Vegas,2.576923076923077
Garage Door Services,Mesa,4.321428571428571
Yoga,Bridgeville,4.166666666666667
Restaurants,Brook Park,3.3
Dry Cleaning,Charlotte,3.2027027027027026
Pets,Cave Creek,4.111111111111111
Education,Shaker Heights,4.3
Shopping,Mayfield Heights,3.2261904761904763
Lawyers,Tempe,4.2125
Food,Avon,3.6142857142857143
Restaurants,Hudson,3.5846153846153848
Fruits & Veggies,Harrison City,4.0
Bike Rentals,Tempe,4.285714285714286
Guns & Ammo,Mesa,3.82
Nurseries & Gardening,Northfield,2.0
Cheesesteaks,Tempe,3.1666666666666665
Auto Parts & Supplies,Glendale,3.769230769230769
Restaurants,Morin-Heights,3.8333333333333335
Imported Food,Thornhill,3.5
Accessories,Scottsdale,3.891156462585034
Pool & Billiards,Phoenix,4.714285714285714
Health & Medical,Goodyear,3.4954545454545456
Movers,Vaughan,4.166666666666667
Flowers & Gifts,Cleveland Heights,4.0
Chicken Shop,Verona,4.0
Pakistani,Toronto,3.3
Breakfast & Brunch,Solon,3.1666666666666665
Vegan,North York,3.25
Beauty & Spas,Sheffield Village,2.3333333333333335
Breweries,Henderson,4.0
Caribbean,Brampton,3.723684210526316
Floral Designers,Charlotte,3.8333333333333335
Couriers & Delivery Services,Cleveland,3.2222222222222223
Boot Camps,Cleveland,4.833333333333333
Cosmetic Surgeons,Gilbert,3.8
Self Storage,Brook Park,3.5
Mexican,Mayfield Heights,3.25
Auto Parts & Supplies,Fort Mill,3.2222222222222223
Acupuncture,Beachwood,4.25
Oil Change Stations,Northfield,5.0
Bed & Breakfast,Monroeville,2.5
Italian,Coraopolis,3.142857142857143
Food,Eastlake,3.6
Limos,CITY CENTER,5.0
Auto Insurance,Goodyear,4.666666666666667
Fast Food,Georgetown,3.75
Permanent Makeup,Glendale,4.382352941176471
Diners,Fountain Hills,2.8333333333333335
Ice Cream & Frozen Yogurt,Frazer,3.0
Chinese,Verona,3.375
Pet Stores,Edinburgh,3.6363636363636362
Furniture Stores,Monroeville - Pit.,2.0
Vacation Rentals,Toronto,3.1666666666666665
Threading Services,Phoenix,4.2272727272727275
Rock Climbing,Madison,3.5
Specialty Food,Euclid,3.25
Steakhouses,Coraopolis,3.5
Automotive,New Kensington,3.4166666666666665
Asian Fusion,Canonsburg,3.5
Chinese,Oakdale,4.0
Italian,Bolton,4.0
Nightlife,Parma Heights,3.375
Restaurants,Champlain,2.5
Flowers & Gifts,Sewickley,3.25
Cafes,Brampton,3.46875
Hair Salons,Lorain,3.0
Bookstores,Cleveland,3.357142857142857
Public Services & Government,Oakville,3.9166666666666665
Wine Bars,Hudson,3.875
Vintage & Consignment,Peoria,3.3333333333333335
Reiki,Beachwood,5.0
Immunodermatologists,Las Vegas,4.333333333333333
Buffets,Twinsburg,3.6666666666666665
Spray Tanning,Cornelius,3.8333333333333335
Roofing,Waxhaw,4.0
Massage,Avondale,3.9
Adult Entertainment,Matthews,2.5
Bike Repair/Maintenance,Fitchburg,4.0
Stadiums & Arenas,Pittsburgh,4.1875
Cosmetic Dentists,Verdun,4.0
Party & Event Planning,Eastlake,3.5
Chicken Wings,North Royalton,3.1666666666666665
Party & Event Planning,Burton,4.5
Cafes,Saint-Lambert,4.25
Beauty & Spas,McFarland,3.3333333333333335
Department Stores,Markham,2.4
Jewelry,Bay Village,4.5
Psychiatrists,Cleveland,5.0
Burgers,Bolton,2.9
Speakeasies,Montréal,4.0
Self Storage,Cleveland Heights,3.5
Internet Service Providers,Cleveland Heights,1.5
Personal Shopping,Mississauga,3.8333333333333335
Fireplace Services,Northfield,3.5
Recreation Centers,Avondale,3.5
Transportation,Richmond Hill,3.5
Canadian (New),Verdun,3.8333333333333335
Shopping,Queensferry,3.5
Electricians,Laval,5.0
Adult Education,Gilbert,4.625
Bagels,Mississauga,3.4285714285714284
Diners,Stouffville,3.0
Cafes,Mont-Royal,3.25
Real Estate Agents,Mentor,2.5
Thrift Stores,Huntersville,3.0
Mass Media,Mesa,4.083333333333333
Bars,Stockbridge,4.5
Spanish,Charlotte,3.7333333333333334
Personal Injury Law,Chandler,4.611111111111111
Drywall Installation & Repair,Verona,5.0
Barbers,Frazer,4.25
Active Life,Filderstadt,4.166666666666667
Bars,Longueuil,2.75
Breweries,Longueuil,2.5
Food,Saint-Paul,3.5
Vegan,Glendale,4.0
Window Washing,Champaign,4.666666666666667
Beauty & Spas,Bedford,3.0
Ophthalmologists,Independence,5.0
Teppanyaki,Las Vegas,4.0625
RV Rental,Toronto,2.5
Adult Education,Glendale,3.5
Wineries,St Joseph,4.5
Hobby Shops,Montreal,2.75
Tires,Saint-Leonard,1.5
Barbers,Whitchurch-Stouffville,2.5
Flowers & Gifts,Brooklyn,3.5
Telecommunications,Stuttgart,4.5
Accessories,Cave Creek,4.625
Aerial Tours,Phoenix,5.0
Web Design,Sun Prairie,5.0
Periodontists,Etobicoke,4.0
Face Painting,Mesa,5.0
Health & Medical,Streetsboro,4.166666666666667
Barbeque,Elizabeth,3.0
Pizza,Leinfelden-Echterdingen,3.4166666666666665
Barre Classes,Canonsburg,5.0
Donuts,Warrensville Heights,3.0
Education,Middleton,4.75
Puerto Rican,Phoenix,4.166666666666667
Eyewear & Opticians,Waxhaw,4.5
Cafes,Olmsted Falls,4.25
Active Life,Frazer,5.0
Mediterranean,Fort Mill,4.5
Landscaping,Champaign,3.1875
Art Museums,Cleveland,3.0
Nightlife,Penicuik,3.5
Check Cashing/Pay-day Loans,Stuttgart,3.75
Asian Fusion,Harrisburg,4.5
Italian,Cheswick,4.5
Fish & Chips,Caledon,4.0
Hair Extensions,Moon Township,3.5
Performing Arts,Concord,5.0
Pet Boarding,Chandler,4.5
Business Consulting,Charlotte,3.375
Delis,Woodmere Village,3.5
Sporting Goods,Kornwestheim,4.5
Car Dealers,Amherst,3.5
Hot Dogs,Carnegie,1.5
Wine & Spirits,Savoy,3.75
Ophthalmologists,Concord,3.25
Bus Tours,Scottsdale,4.5
Employment Agencies,Etobicoke,1.5
Italian,Tremont,4.0
Furniture Stores,Waxhaw,3.5
Endodontists,Canonsburg,4.0
Notaries,North York,2.0
Used Car Dealers,Whitby,2.0
Automotive,Swissvale,4.5
Pizza,Mount Albert,4.5
Fast Food,Saint-Sauveur,2.5
Department Stores,Monona,2.8333333333333335
Buffets,Vaudreuil-Dorion,2.0
Donuts,Leonberg,3.0
Wildlife Control,Pittsburgh,3.5
Mediterranean,Beaconsfield,5.0
Massage,Lower Burrell,5.0
